"Idx","SeqId","AltSeqId","TId","Layer","Trace","Direction","Sub","Module","Op","Kernel","Params","Sil(ns)","TC","Device","Stream","Grid","Block","FLOPs","Bytes"
"50","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","48","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1760","-","0","7","1,1,1","128,1,1","1.0","8"
"51","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","49","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2624","-","0","7","1,1,1","128,1,1","1.0","8"
"52","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","50","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2432","-","0","7","1,1,1","128,1,1","1.0","8"
"53","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","51","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2368","-","0","7","1,1,1","128,1,1","1.0","8"
"54","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","52","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2432","-","0","7","1,1,1","128,1,1","1.0","8"
"55","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","53","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2400","-","0","7","1,1,1","128,1,1","1.0","8"
"56","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","54","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2400","-","0","7","1,1,1","128,1,1","1.0","8"
"57","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","55","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","1760","-","0","7","1,1,1","128,1,1","1.0","8"
"58","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","56","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"59","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","57","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2496","-","0","7","1,1,1","128,1,1","1.0","8"
"60","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","58","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2529","-","0","7","1,1,1","128,1,1","1.0","8"
"61","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","59","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2272","-","0","7","1,1,1","128,1,1","1.0","8"
"62","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","60","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2304","-","0","7","1,1,1","128,1,1","1.0","8"
"63","83","-","27392","-","train.py:625,train.py:557,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:356,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:235,/home/aditya/GNMTResearch/seq2seq/train/trainer.py:170","fprop","61","Tensor","__add__","elementwise_kernel","T=[(1,)],fp32,","2337","-","0","7","1,1,1","128,1,1","1.0","8"
